Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

12-22-2017  9:48PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  LAN_IDE_CP.ngd
output file: LAN_IDE_CP_pad.csv
Part type:   xc95288xl
Speed grade: -10
Package:     tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,VCC,,VCCIO,,,,,,,,,,
P2,D<0>,I/O,I/O/GTS3,BIDIR,,,,,,,,,
P3,A_LAN<1>,O,I/O/GTS4,OUTPUT,,,,,,,,,
P4,A_LAN<0>,O,I/O,OUTPUT,,,,,,,,,
P5,A_LAN<3>,O,I/O/GTS1,OUTPUT,,,,,,,,,
P6,A_LAN<2>,O,I/O/GTS2,OUTPUT,,,,,,,,,
P7,A_LAN<5>,O,I/O,OUTPUT,,,,,,,,,
P8,VCC,,VCCINT,,,,,,,,,,
P9,A_LAN<4>,O,I/O,OUTPUT,,,,,,,,,
P10,A_LAN<7>,O,I/O,OUTPUT,,,,,,,,,
P11,A_LAN<6>,O,I/O,OUTPUT,,,,,,,,,
P12,LAN_CFG<1>,O,I/O,OUTPUT,,,,,,,,,
P13,LAN_CFG<3>,O,I/O,OUTPUT,,,,,,,,,
P14,D<6>,I/O,I/O,BIDIR,,,,,,,,,
P15,D<3>,I/O,I/O,BIDIR,,,,,,,,,
P16,D<7>,I/O,I/O,BIDIR,,,,,,,,,
P17,D<1>,I/O,I/O,BIDIR,,,,,,,,,
P18,GND,,GND,,,,,,,,,,
P19,D<8>,I/O,I/O,BIDIR,,,,,,,,,
P20,D<5>,I/O,I/O,BIDIR,,,,,,,,,
P21,D<4>,I/O,I/O,BIDIR,,,,,,,,,
P22,IDE_CS<0>,O,I/O,OUTPUT,,,,,,,,,
P23,IDE_CS<1>,O,I/O,OUTPUT,,,,,,,,,
P24,IDE_A<0>,O,I/O,OUTPUT,,,,,,,,,
P25,IDE_A<2>,O,I/O,OUTPUT,,,,,,,,,
P26,IDE_A<1>,O,I/O,OUTPUT,,,,,,,,,
P27,IDE_R,O,I/O,OUTPUT,,,,,,,,,
P28,IDE_W,O,I/O,OUTPUT,,,,,,,,,
P29,GND,,GND,,,,,,,,,,
P30,CLK_EXT,GCK,I/O/GCK1,,,,,,,,,,
P31,CP_IRQ,I,I/O,INPUT,,,,,,,,,
P32,INT_OUT,O,I/O/GCK2,OUTPUT,,,,,,,,,
P33,IDE_WAIT,I,I/O,INPUT,,,,,,,,,
P34,CP_CS,O,I/O,OUTPUT,,,,,,,,,
P35,ROM_OE,O,I/O,OUTPUT,,,,,,,,,
P36,GND,,GND,,,,,,,,,,
P37,VCC,,VCCIO,,,,,,,,,,
P38,DQ<5>,I/O,I/O/GCK3,BIDIR,,,,,,,,,
P39,D<2>,I/O,I/O,BIDIR,,,,,,,,,
P40,D<9>,I/O,I/O,BIDIR,,,,,,,,,
P41,D<10>,I/O,I/O,BIDIR,,,,,,,,,
P42,VCC,,VCCINT,,,,,,,,,,
P43,D<11>,I/O,I/O,BIDIR,,,,,,,,,
P44,D<12>,I/O,I/O,BIDIR,,,,,,,,,
P45,D<13>,I/O,I/O,BIDIR,,,,,,,,,
P46,D<14>,I/O,I/O,BIDIR,,,,,,,,,
P47,GND,,GND,,,,,,,,,,
P48,D<15>,I/O,I/O,BIDIR,,,,,,,,,
P49,A<5>,I,I/O,INPUT,,,,,,,,,
P50,A<4>,I,I/O,INPUT,,,,,,,,,
P51,A<6>,I,I/O,INPUT,,,,,,,,,
P52,A<3>,I,I/O,INPUT,,,,,,,,,
P53,A<7>,I,I/O,INPUT,,,,,,,,,
P54,A<2>,I,I/O,INPUT,,,,,,,,,
P55,VCC,,VCCIO,,,,,,,,,,
P56,A<8>,I,I/O,INPUT,,,,,,,,,
P57,A<1>,I,I/O,INPUT,,,,,,,,,
P58,A<9>,I,I/O,INPUT,,,,,,,,,
P59,A<10>,I,I/O,INPUT,,,,,,,,,
P60,A<11>,I,I/O,INPUT,,,,,,,,,
P61,A<12>,I,I/O,INPUT,,,,,,,,,
P62,GND,,GND,,,,,,,,,,
P63,TDI,,TDI,,,,,,,,,,
P64,A<13>,I,I/O,INPUT,,,,,,,,,
P65,TMS,,TMS,,,,,,,,,,
P66,A<14>,I,I/O,INPUT,,,,,,,,,
P67,TCK,,TCK,,,,,,,,,,
P68,DQ<2>,I/O,I/O,BIDIR,,,,,,,,,
P69,ROM_B<1>,O,I/O,OUTPUT,,,,,,,,,
P70,CP_WE,O,I/O,OUTPUT,,,,,,,,,
P71,CP_RD,O,I/O,OUTPUT,,,,,,,,,
P72,GND,,GND,,,,,,,,,,
P73,VCC,,VCCIO,,,,,,,,,,
P74,A<15>,I,I/O,INPUT,,,,,,,,,
P75,AUTOBOOT_OFF,I,I/O,INPUT,,,,,,,,,
P76,LAN_WRL,O,I/O,OUTPUT,,,,,,,,,
P77,ROM_B<0>,O,I/O,OUTPUT,,,,,,,,,
P78,TIE,,I/O,,,,,,,,,,
P79,TIE,,I/O,,,,,,,,,,
P80,AS,I,I/O,INPUT,,,,,,,,,
P81,UDS,I,I/O,INPUT,,,,,,,,,
P82,LDS,I,I/O,INPUT,,,,,,,,,
P83,RW,I,I/O,INPUT,,,,,,,,,
P84,VCC,,VCCINT,,,,,,,,,,
P85,DTACK,O,I/O,OUTPUT,,,,,,,,,
P86,A<23>,I,I/O,INPUT,,,,,,,,,
P87,A<22>,I,I/O,INPUT,,,,,,,,,
P88,A<21>,I,I/O,INPUT,,,,,,,,,
P89,GND,,GND,,,,,,,,,,
P90,GND,,GND,,,,,,,,,,
P91,A<20>,I,I/O,INPUT,,,,,,,,,
P92,A<19>,I,I/O,INPUT,,,,,,,,,
P93,TIE,,I/O,,,,,,,,,,
P94,A<18>,I,I/O,INPUT,,,,,,,,,
P95,A<17>,I,I/O,INPUT,,,,,,,,,
P96,MTACK,O,I/O,OUTPUT,,,,,,,,,
P97,A<16>,I,I/O,INPUT,,,,,,,,,
P98,BERR,I,I/O,INPUT,,,,,,,,,
P99,GND,,GND,,,,,,,,,,
P100,OVR,O,I/O,OUTPUT,,,,,,,,,
P101,TIE,,I/O,,,,,,,,,,
P102,C3,I,I/O,INPUT,,,,,,,,,
P103,C1,I,I/O,INPUT,,,,,,,,,
P104,CFIN,I,I/O,INPUT,,,,,,,,,
P105,CFOUT,O,I/O,OUTPUT,,,,,,,,,
P106,SLAVE,O,I/O,OUTPUT,,,,,,,,,
P107,OWN,O,I/O,OUTPUT,,,,,,,,,
P108,GND,,GND,,,,,,,,,,
P109,VCC,,VCCIO,,,,,,,,,,
P110,LAN_CFG<4>,O,I/O,OUTPUT,,,,,,,,,
P111,LAN_INT,I,I/O,INPUT,,,,,,,,,
P112,DQ<15>,I/O,I/O,BIDIR,,,,,,,,,
P113,DQ<13>,I/O,I/O,BIDIR,,,,,,,,,
P114,GND,,GND,,,,,,,,,,
P115,DQ<11>,I/O,I/O,BIDIR,,,,,,,,,
P116,DQ<9>,I/O,I/O,BIDIR,,,,,,,,,
P117,DQ<1>,I/O,I/O,BIDIR,,,,,,,,,
P118,DQ<0>,I/O,I/O,BIDIR,,,,,,,,,
P119,DQ<3>,I/O,I/O,BIDIR,,,,,,,,,
P120,TIE,,I/O,,,,,,,,,,
P121,TIE,,I/O,,,,,,,,,,
P122,TDO,,TDO,,,,,,,,,,
P123,GND,,GND,,,,,,,,,,
P124,DQ<4>,I/O,I/O,BIDIR,,,,,,,,,
P125,DQ<7>,I/O,I/O,BIDIR,,,,,,,,,
P126,DQ<6>,I/O,I/O,BIDIR,,,,,,,,,
P127,VCC,,VCCIO,,,,,,,,,,
P128,DQ<8>,I/O,I/O,BIDIR,,,,,,,,,
P129,DQ<10>,I/O,I/O,BIDIR,,,,,,,,,
P130,DQ<12>,I/O,I/O,BIDIR,,,,,,,,,
P131,DQ<14>,I/O,I/O,BIDIR,,,,,,,,,
P132,LAN_WRH,O,I/O,OUTPUT,,,,,,,,,
P133,LAN_CS,O,I/O,OUTPUT,,,,,,,,,
P134,LAN_RD,O,I/O,OUTPUT,,,,,,,,,
P135,LAN_CFG<2>,O,I/O,OUTPUT,,,,,,,,,
P136,A_LAN<13>,O,I/O,OUTPUT,,,,,,,,,
P137,A_LAN<12>,O,I/O,OUTPUT,,,,,,,,,
P138,A_LAN<10>,O,I/O,OUTPUT,,,,,,,,,
P139,A_LAN<11>,O,I/O,OUTPUT,,,,,,,,,
P140,A_LAN<8>,O,I/O,OUTPUT,,,,,,,,,
P141,VCC,,VCCINT,,,,,,,,,,
P142,A_LAN<9>,O,I/O,OUTPUT,,,,,,,,,
P143,RESET,GSR/I,I/O/GSR,,,,,,,,,,
P144,GND,,GND,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


